,study,taxon,phylum,common_name,number_of_populations,ecosystem,dispersal_mode,acclimation_time,source_population,latitude,longitude,life_history_stage,sex,number_acc_temps,acclimation_temperature_1,acclimation_temperature_2,measurement_level,thermal_limit_type,thermal_limit_1,thermal_limit_2,thermal_limit_error_type,thermal_limit_error_1,thermal_limit_error_2,n_1,n_2,ni,max_temp,min_temp,mean_temp,temp_range,upper_lower,ARR
11,Armstong_et_al_2020,Arabidopsis_lyrata,Tracheophyta,rockcress,9,terrestrial,direct,<1,Presque_Isle_PA,42.14,-80.11,adult,uncertain,2,4,20,population,LD50_low,-19.68091838,-12.01718209,NA,NA,NA,1,1,112,26.1,-5.8,9.9,31.9,lower,0.478983518
12,Armstong_et_al_2020,Arabidopsis_lyrata,Tracheophyta,rockcress,9,terrestrial,direct,<1,Bailey's_Harbor_WI,45.07036,-87.1711,adult,uncertain,2,4,20,population,LD50_low,-14.63508697,-14.0455688,NA,NA,NA,1,1,112,22.12,-7.96,6.78,30.08,lower,0.036844886
13,Armstong_et_al_2020,Arabidopsis_lyrata,Tracheophyta,rockcress,9,terrestrial,direct,<1,Plech_Germany,49.65,11.47,adult,uncertain,2,4,20,population,LD50_low,-11.74699564,-9.585428989,NA,NA,NA,1,1,112,22.35,-3.833333333,8.25,26.18333333,lower,0.135097916
14,Armstong_et_al_2020,Arabidopsis_lyrata,Tracheophyta,rockcress,9,terrestrial,direct,<1,Exeter_McNair_England,50.72,-3.53,adult,uncertain,2,4,20,population,LD50_low,-12.59724636,-9.322145385,NA,NA,NA,1,1,112,19.15,4.025,10.925,15.125,lower,0.204693811
15,Armstong_et_al_2020,Arabidopsis_lyrata,Tracheophyta,rockcress,9,terrestrial,direct,<1,Esja_Mountain_Iceland,64.2,-21.7,adult,uncertain,2,4,20,population,LD50_low,-32.62608326,-16.77459452,NA,NA,NA,1,1,112,13.1,-2.325,4.6375,15.425,lower,0.990718046
16,Armstong_et_al_2020,Arabidopsis_lyrata,Tracheophyta,rockcress,9,terrestrial,direct,<1,Reykjavik_Iceland,64,-21,adult,uncertain,2,4,20,population,LD50_low,-12.32045719,-7.997323896,NA,NA,NA,1,1,112,11.95,-2.7625,3.9125,14.7125,lower,0.270195831
17,Armstong_et_al_2020,Arabidopsis_lyrata,Tracheophyta,rockcress,9,terrestrial,direct,<1,Cedar_Mountain_NC,36.426667,-79.93777778,adult,uncertain,2,4,NA,population,LD50_low,-33.48548776,NA,NA,NA,NA,1,1,112,29.8,-0.5,14.74,30.3,lower,NA
18,Armstrong_et_al_2015,Arabidopsis_kamchatica,Tracheophyta,rockcress,3,terrestrial,uncertain,1,Elk_River,49.846,-125.85,uncertain,uncertain,2,4,20,population,LD50_low,-19.5,-9.1,CI,0.7,0.2,1,1,112,20.9,-0.766666667,7.966666667,21.66666667,lower,0.65
19,Armstrong_et_al_2015,Arabidopsis_kamchatica,Tracheophyta,rockcress,3,terrestrial,uncertain,1,Portage_Glacier,60.82,-148.97,uncertain,uncertain,2,4,20,population,LD50_low,-21.6,-10.5,CI,0.7,0.3,1,1,112,17.625,-8.25,4.1,25.875,lower,0.69375
20,Armstrong_et_al_2015,Arabidopsis_kamchatica,Tracheophyta,rockcress,3,terrestrial,uncertain,1,Ptarmigan_Creek,65.05,-147.6,uncertain,uncertain,2,4,20,population,LD50_low,-17.2,-9.8,CI,0.4,0.1,1,1,112,20.45,-24.4125,-2.725,44.8625,lower,0.4625
21,Barria_et_al_2017,Pleurodema_thaul,Chordata,frog,2,terrestrial,uncertain,<1,Carrera_Pinto,-27.1,-69.883,adult,uncertain,2,10,20,individual,CTmax,38.664,39.618,CI,0.190545,0.300182,22,22,64,24.7,4,15.3,20.7,upper,0.0954
22,Barria_et_al_2017,Pleurodema_thaul,Chordata,frog,2,terrestrial,uncertain,<1,El_Caulle,-40.65,-72.167,adult,uncertain,2,10,20,individual,CTmax,35.745,37.636,CI,0.700455,0.491273,10,10,64,21.4,1.975,10.3,19.425,upper,0.1891
23,Barria_et_al_2017,Pleurodema_thaul,Chordata,frog,2,terrestrial,uncertain,<1,Carrera_Pinto,-27.1,-69.883,adult,uncertain,2,10,20,individual,CTmin,1.631432545,1.235048679,CI,0.278164117,0.236439499,22,22,64,24.7,4,15.3,20.7,lower,-0.039638387
24,Barria_et_al_2017,Pleurodema_thaul,Chordata,frog,2,terrestrial,uncertain,<1,El_Caulle,-40.65,-72.167,adult,uncertain,2,10,20,individual,Ctmin,-2.408901252,-2.137691238,CI,0.472878999,0.458970793,10,10,64,21.4,1.975,10.3,19.425,lower,0.027121001
33,Bugg_et_al_2020,Acipenser fulvescens,Chordata,sturgeon,2,freshwater,NA,1,WR,50.3,95.55,adult,uncertain,3,16,24,individual,CTmax,32.41909814,35.77188329,std_dev,0.286472149,0.625994695,8,8,48,21.06,-28.24,-2.08,49.3,upper,0.419098144
34,Bugg_et_al_2020,Acipenser fulvescens,Chordata,sturgeon,2,freshwater,NA,1,BR,56.05,96.905,adult,uncertain,3,16,24,individual,CTmax,32.12201592,34.8806366,std_dev,0.48,0.381962865,8,8,48,23.28333333,-22.5,0.483333333,45.78333333,upper,0.344827585
37,Campbell_Staton_et_al_2018,Anolis_carolinensis,Chordata,lizard,5,terrestrial,uncertain,<1,Hodgen,34.784382,-94.694722,adult,uncertain,2,20,30,individual,CTmin,6.02911208,7.79767103,std_err,0.356623,0.43668122,10,10,108,32.18,-0.18,16.2,32.36,lower,0.176855895
38,Campbell_Staton_et_al_2018,Anolis_carolinensis,Chordata,lizard,5,terrestrial,uncertain,<1,Arlington,32.768686,-97.08369,adult,uncertain,2,20,30,individual,CTmin,6.356623,8.30349345,std_err,0.29112082,0.5713246,9,9,108,34.6,2.5,18.9,32.1,lower,0.194687045
39,Campbell_Staton_et_al_2018,Anolis_carolinensis,Chordata,lizard,5,terrestrial,uncertain,<1,Austin,30.24407,-97.720786,adult,uncertain,2,20,30,individual,CTmin,6.45487627,8.43085881,std_err,0.3202329,0.28384279,12,14,108,34.7,5.45,20.6,29.25,lower,0.197598254
40,Campbell_Staton_et_al_2018,Anolis_carolinensis,Chordata,lizard,5,terrestrial,uncertain,<1,Victoria,28.818269,-97.024316,adult,uncertain,2,20,30,individual,CTmin,7.10262009,9.64628821,std_err,0.55676856,0.37117904,10,15,108,32.825,8.05,21.5,24.775,lower,0.254366812
41,Campbell_Staton_et_al_2018,Anolis_carolinensis,Chordata,lizard,5,terrestrial,uncertain,<1,Brownsville,25.894346,-97.489169,adult,uncertain,2,20,30,individual,CTmin,8.36535662,10.1229985,std_err,0.505822416,0.64774381,10,9,108,32.025,13.55,23.8,18.475,lower,0.175764188
42,Castaneda_et_al_2016,Drosophila subobscura,Arthropoda,fruit fly,5,terrestrial,NA,1,CU,35,71.21666667,adult,female,2,13,18,individual,knockdown temperature,36.33333333,35.63333333,std_dev,0.758098044,0.718395402,30,30,300,27.4,-4.7,11.825,32.1,upper,-0.14
43,Castaneda_et_al_2016,Drosophila subobscura,Arthropoda,fruit fly,5,terrestrial,NA,1,CH,36.6,72.1,adult,female,2,13,18,individual,knockdown temperature,35.8,35.78571429,std_dev,0.761124395,0.832539304,30,30,300,5.3,-28.775,-13.5,34.075,upper,-0.002857143
44,Castaneda_et_al_2016,Drosophila subobscura,Arthropoda,fruit fly,5,terrestrial,NA,1,VD,39.8,73.2,adult,female,2,13,18,individual,knockdown temperature,35.66666667,36.23333333,std_dev,0.884086645,0.678910554,30,30,300,14.65,-18.85,-1.225,33.5,upper,0.113333333
45,Castaneda_et_al_2016,Drosophila subobscura,Arthropoda,fruit fly,5,terrestrial,NA,1,VD,39.8,73.2,adult,female,2,13,18,individual,knockdown temperature,35.66666667,35.66666667,std_dev,0.884086645,0.758098044,30,30,300,14.65,-18.85,-1.225,33.5,upper,0
46,Castaneda_et_al_2016,Drosophila subobscura,Arthropoda,fruit fly,5,terrestrial,NA,1,PM,41.5,72.95,adult,female,2,13,18,individual,knockdown temperature,36.1,35.7,std_dev,0.758855763,0.91538573,30,30,300,12.925,-20.5,-3.675,33.425,upper,-0.08
47,Chen_et_al_2001,Buergeria_japonica,Chordata,frog,2,terrestrial,uncertain,<1,Chukou,23.45,120.605,juvenile,uncertain,2,22,32,individual,CTmax,42.42424,43.95455,std_err,0.689394,0.212121,12,12,48,29.05,11.55,21.325,17.5,upper,0.153031
48,Chen_et_al_2001,Buergeria_japonica,Chordata,frog,2,terrestrial,uncertain,<1,Jentse,24.553,121.5,juvenile,uncertain,2,22,32,individual,CTmax,44.45455,43.93182,std_err,0.348485,0.704545,12,12,48,28.325,9.85,19.25,18.475,upper,-0.052273
73,Darveau_et_al_2012,Couesius_plumbeus,Chordata,lake_chub,3,freshwater,direct,<1,Atlin_warm_spring,59.40388333,-133.5753361,adult,uncertain,4,5,25,individual,CTmax,25.84557439,35.70621469,std_err,0.2,0.34,11,11,121,16.9875,-14.0125,0.75,31,upper,0.493032015
74,Darveau_et_al_2012,Couesius_plumbeus,Chordata,lake_chub,3,freshwater,direct,<1,liard_hot_spring,59.428525,-126.0884222,adult,uncertain,4,5,25,individual,CTmax,26.76836158,35.94350282,std_err,0.16,0.16,11,11,121,20.2625,-19.0625,0.4375,39.325,upper,0.458757062
75,Darveau_et_al_2012,Couesius_plumbeus,Chordata,lake_chub,3,freshwater,direct,<1,green_lake,51.37627778,-121.2630472,adult,uncertain,4,5,25,individual,CTmax,26.16195857,35.41619586,std_err,0.16,0.12,11,11,121,22.53333333,-10.23333333,4.733333333,32.76666667,upper,0.462711865
103,Diamond_et_al_2018,Temnothorax_curvispinosus,Arthropoda,ant,3,terrestrial,direct,1,Cin_rural,39.17,-84.56333333,adult,female,5,21,29,population,CTmax,47.8,47.33333333,std_err,0.374165739,0.333333333,3,3,157,29.225,-4.45,12.425,33.675,upper,-0.058333334
104,Diamond_et_al_2018,Temnothorax_curvispinosus,Arthropoda,ant,3,terrestrial,direct,1,Cin_urban,39.1475,-84.53,adult,female,5,21,29,population,CTmax,46.8,47.25,std_err,0.374165739,0.25,4,4,157,29.46,-4.22,12.66,33.68,upper,0.05625
105,Diamond_et_al_2018,Temnothorax_curvispinosus,Arthropoda,ant,3,terrestrial,direct,1,Cle_rural,41.544,-81.376,adult,female,5,21,29,population,CTmax,47.2,47.8,std_err,0.374165739,0.2,5,5,157,25.78,-6.04,9.56,31.82,upper,0.075
106,Diamond_et_al_2018,Temnothorax_curvispinosus,Arthropoda,ant,3,terrestrial,direct,1,Cle_urban,41.51333333,-81.60333333,adult,female,5,21,29,population,CTmax,47.5,48,std_err,0.5,0.25819889,6,6,157,26.75,-5.45,10.375,32.2,upper,0.0625
107,Diamond_et_al_2018,Temnothorax_curvispinosus,Arthropoda,ant,3,terrestrial,direct,1,Knx_rural,35.74,-83.788,adult,female,5,21,29,population,CTmax,47.66666667,47.4,std_err,0.666666667,0.678232998,5,5,157,28.96,-0.68,14.36,29.64,upper,-0.033333334
108,Diamond_et_al_2018,Temnothorax_curvispinosus,Arthropoda,ant,3,terrestrial,direct,1,Knx_urban,35.912,-83.952,adult,female,5,21,29,population,CTmax,46.75,47.6,std_err,0.25,0.244948974,5,5,157,29.52,-0.3,14.88,29.82,upper,0.10625
223,Diamond_et_al_2018,Temnothorax_curvispinosus,Arthropoda,ant,3,terrestrial,direct,1,Cin_rural,39.17067925,-84.56658413,adult,uncertain,5,21,29,population,CTmax,46.71428571,47.575,std_err,0.087029671,0.077080839,8,8,260,29.2,-4.48,12.4,33.68,upper,0.107589286
224,Diamond_et_al_2018,Temnothorax_curvispinosus,Arthropoda,ant,3,terrestrial,direct,1,Cin_urban,39.14369861,-84.53361524,adult,uncertain,5,21,29,population,CTmax,46.78481013,47.26315789,std_err,0.10759971,0.092467958,8,8,260,29.525,-4.15,12.725,33.675,upper,0.05979347
225,Diamond_et_al_2018,Temnothorax_curvispinosus,Arthropoda,ant,3,terrestrial,direct,1,Cle_rural,41.5462519,-81.3760195,adult,uncertain,5,21,29,population,CTmax,46.875,47.43333333,std_err,0.0802981,0.083688382,10,10,260,25.78,-6.04,9.56,31.82,upper,0.069791666
226,Diamond_et_al_2018,Temnothorax_curvispinosus,Arthropoda,ant,3,terrestrial,direct,1,Cle_urban,41.5106732,-81.60999774,adult,uncertain,5,21,29,population,CTmax,46.98958333,47.8045977,std_err,0.090678234,0.083108352,9,9,260,26.76,-5.46,10.38,32.22,upper,0.101876796
227,Diamond_et_al_2018,Temnothorax_curvispinosus,Arthropoda,ant,3,terrestrial,direct,1,Knx_rural,35.74412505,-83.79208736,adult,uncertain,5,21,29,population,CTmax,47.48684211,47.95402299,std_err,0.126343199,0.10457082,9,9,260,29,-0.65,14.375,29.65,upper,0.05839761
228,Diamond_et_al_2018,Temnothorax_curvispinosus,Arthropoda,ant,3,terrestrial,direct,1,Knx_urban,35.90227444,-83.95437089,adult,uncertain,5,21,29,population,CTmax,47.23076923,48.38356164,std_err,0.079381301,0.081905896,8,8,260,29.65,-0.2,14.975,29.85,upper,0.144099051
325,Dong_et_al_2015,Cellana_toreuma,Mollusca,limpet,3,intertidal,planktonic,<1,Dagong_Island,35.96667,120.5,uncertain,uncertain,2,25,30,population,CTmax,42.43902,41.77507,std_dev,0.44715,0.71815,500,500,2000,27.4,-2.2,13.3,29.6,upper,-0.13279
326,Dong_et_al_2015,Cellana_toreuma,Mollusca,limpet,3,intertidal,planktonic,<1,Nanding_Island,24.15,117.9833,uncertain,uncertain,2,25,30,population,CTmax,42.96748,42.56098,std_dev,0.3929,0.3525,500,500,2000,30.7,12,22.3,18.7,upper,-0.0813
332,Fangue_et_al_2006,Fundulus_heteroclitus,Chordata,killfish,2,ocean,direct,<1,NH,42.896804,-70.821065,adult,uncertain,7,2,34,individual,CTmin,-1.1,8.6,std_dev,0,0.49,15,15,450,20.139793,2.809211,11.043438,17.330582,lower,0.303125
353,Fangue_et_al_2006,Fundulus_heteroclitus,Chordata,killfish,2,ocean,direct,<1,GA,31.12527778,-81.436621,adult,uncertain,7,2,34,individual,CTmin,-1.1,9.6,std_dev,0,0.49,15,15,450,29.479265,13.438733,22.371168,16.040532,lower,0.334375
374,Fangue_et_al_2006,Fundulus_heteroclitus,Chordata,killfish,2,ocean,direct,<1,NH,42.896804,-70.821065,adult,uncertain,7,2,34,individual,CTmax,28.6,41.3,std_dev,1.05,0.71,15,15,450,20.139793,2.809211,11.043438,17.330582,upper,0.396875
395,Fangue_et_al_2006,Fundulus_heteroclitus,Chordata,killfish,2,ocean,direct,<1,GA,31.12527778,-81.436621,adult,uncertain,7,2,34,individual,CTmax,30.8,42.5,std_dev,1.44,0.96,15,15,450,29.479265,13.438733,22.371168,16.040532,upper,0.365625
414,Fernando_et_al_2016,Atractosteus_spatula,Chordata,fish,3,freshwater,uncertain,<1,Fourche,34.928639,-93.361688,juvenile,uncertain,3,25,35,population,CTmax,39.8,43.9,std_err,0.12,0.17,5,5,45,32.54,0.06,16.52,32.48,upper,0.41
415,Fernando_et_al_2016,Atractosteus_spatula,Chordata,fish,3,freshwater,uncertain,<1,Tupelo,31.426799,-91.455487,juvenile,uncertain,3,25,35,population,CTmax,39.8,44.08,std_err,0.16,0.18,5,5,45,31.7,4.8,19.2,26.9,upper,0.428
416,Fernando_et_al_2016,Atractosteus_spatula,Chordata,fish,3,freshwater,uncertain,<1,Rockefeller,29.702907,-92.745953,juvenile,uncertain,3,25,35,population,CTmax,39.7,44.38,std_err,0.12,0.12,5,5,45,30.1,9.725,21,20.375,upper,0.468
417,Healy_et_al_2019,Tigriopus_californicus,Arthropoda,copepod,10,intertidal,planktonic,2+,San_Diego,32.744828,-117.255264,adult,uncertain,2,20,25,individual,CTmax,38.15,38.99256506,std_err,0.541436464,0.691449814,16,16,126,28.33333333,10.2,18.36666667,18.13333333,upper,0.168513012
418,Healy_et_al_2019,Tigriopus_californicus,Arthropoda,copepod,10,intertidal,planktonic,2+,Bird_Rock,32.814202,-117.273379,adult,uncertain,2,20,25,individual,CTmax,37.8625,38.95910781,std_err,0.596685083,0.386740331,16,16,126,28.5,10.175,18.45,18.325,upper,0.219321562
419,Healy_et_al_2019,Tigriopus_californicus,Arthropoda,copepod,10,intertidal,planktonic,2+,Santa_Cruz,36.949433,-122.046358,adult,uncertain,2,20,25,individual,CTmax,36.575,38.14900662,std_err,0.653061224,0.846938776,16,15,126,22.14,7.8,14.48,14.34,upper,0.314801324
420,Healy_et_al_2019,Tigriopus_californicus,Arthropoda,copepod,10,intertidal,planktonic,2+,Pescadero,37.259631,-122.414116,adult,uncertain,2,20,25,individual,CTmax,36.45,37.7019868,std_err,1.102040816,0.387755102,16,15,126,20.475,8.4,14.075,12.075,upper,0.25039736
421,Jensen_et_al_2019,Orchesella_cincta,Arthropoda,springtail,7,terrestrial,NA,2+,Siena,43.31666667,11.31666667,adult,uncertain,2,20,35.4,individual,CTmax,38.11375212,38.70967742,std_err,0.142614601,0.157894737,24,24,336,28.925,1.5,14.025,27.425,upper,0.038696448
422,Jensen_et_al_2019,Orchesella_cincta,Arthropoda,springtail,7,terrestrial,NA,2+,Chorges,44.53333333,6.266666667,adult,uncertain,2,20,35.4,individual,CTmax,37.69609508,38.31239389,std_err,0.14770798,0.188455009,24,24,336,24.225,-3.65,9.15,27.875,upper,0.040019403
423,Jensen_et_al_2019,Orchesella_cincta,Arthropoda,springtail,7,terrestrial,NA,2+,Frankfurt,50.06666667,8.683333333,adult,uncertain,2,20,35.4,individual,CTmax,37.93039049,38.48556876,std_err,0.213921902,0.188455009,24,24,336,23.88,-0.92,10.28,24.8,upper,0.036050537
424,Jensen_et_al_2019,Orchesella_cincta,Arthropoda,springtail,7,terrestrial,NA,2+,Hannover,52.31666667,9.916666667,adult,uncertain,2,20,35.4,individual,CTmax,37.76740238,38.33786078,std_err,0.213921902,0.152801358,24,24,336,22.5375,-1.2,9.5,23.7375,upper,0.037042753
425,Jensen_et_al_2019,Orchesella_cincta,Arthropoda,springtail,7,terrestrial,NA,2+,Hamburg,53.71666667,9.966666667,adult,uncertain,2,20,35.4,individual,CTmax,37.55348048,38.12393888,std_err,0.152801358,0.127334465,24,24,336,21.625,-1.275,9.0125,22.9,upper,0.037042753
426,Jensen_et_al_2019,Orchesella_cincta,Arthropoda,springtail,7,terrestrial,NA,2+,Mols,56.36666667,9.933333333,adult,uncertain,2,20,35.4,individual,CTmax,37.11035654,38.12903226,std_err,0.157894737,0.132427844,24,24,336,19.625,-1.5125,8.15,21.1375,upper,0.066147774
427,Jensen_et_al_2019,Orchesella_cincta,Arthropoda,springtail,7,terrestrial,NA,2+,Skagen,57.633381,10.389655,adult,uncertain,2,20,35.4,individual,CTmax,36.79966044,37.81324278,std_err,0.213921902,0.173174873,24,24,336,18.2,-0.5,8.3875,18.7,upper,0.065817035
428,Kelley_et_al_2011,Carcinus_maenas,Arthropoda,Green_crab,2,ocean,planktonic,<1,CA,37.907728,-122.6721,adult,uncertain,2,6,23,population,CTmax,34.7,36.2,std_err,0.62,0.28,15,15,60,17.140863,9.913499,12.333989,7.227364,upper,0.088235294
429,Kelley_et_al_2011,Carcinus_maenas,Arthropoda,Green_crab,2,ocean,planktonic,<1,BC,49.038333,-125.203333,adult,uncertain,2,6,23,population,CTmax,31.7,35.5,std_err,0.67,0.23,15,15,60,14.94532,6.863964,10.689245,8.081356,upper,0.223529412
430,Manis_and_Claussen_1986,Rana_sylvatica,Chordata,frog,5,terrestrial,direct,1,Kentucky,37.56666667,-84.3,larvae,uncertain,2,15,20,population,CTmax,27.3,36.7,CI,1.2,0.3,10,10,80,28.9,-2.275,13.525,31.175,upper,1.88
431,Manis_and_Claussen_1986,Rana_sylvatica,Chordata,frog,5,terrestrial,direct,1,Ohio,38.8,-83.4,larvae,uncertain,2,15,20,population,CTmax,26,35.9,CI,0.8,0.4,10,10,80,28.8,-3.725,12.575,32.525,upper,1.98
432,Manis_and_Claussen_1986,Rana_sylvatica,Chordata,frog,5,terrestrial,direct,1,NY-R,42.51666667,-74.11666667,larvae,uncertain,2,15,20,population,CTmax,26.1,33.8,CI,0.8,0.8,10,10,80,25.05,-9.375,7.875,34.425,upper,1.54
433,Manis_and_Claussen_1986,Rana_sylvatica,Chordata,frog,5,terrestrial,direct,1,Michigan,42.75,-83.21666667,larvae,uncertain,2,15,20,population,CTmax,27.1,33.9,CI,0.8,0.4,10,10,80,26.5,-8.1,8.8,34.6,upper,1.36
434,McCann_2018,Rhinella_marina,Chordata,cane_toad,4,terrestrial,uncertain,<1,HU,19.696853,-155.081501,adult,uncertain,2,12,24,population,CTmin,10.09931034,10.66896552,std_err,0.637241379,0.675862069,20,20,164,27.56666667,20.16666667,23.86666667,7.4,lower,0.047471265
435,McCann_2018,Rhinella_marina,Chordata,cane_toad,4,terrestrial,uncertain,<1,TV,19.549037,-155.136774,adult,uncertain,2,12,24,population,CTmin,9.575842697,11.98455056,std_err,0.639044944,0.668539326,22,22,164,24.9,17.125,20.925,7.775,lower,0.200725655
436,McCann_2018,Rhinella_marina,Chordata,cane_toad,4,terrestrial,uncertain,<1,ML,19.941369,-155.859498,adult,uncertain,2,12,24,population,CTmin,12.36986301,10.1260274,std_err,0.268493151,0.652054795,20,20,164,28.475,20.625,24.525,7.85,lower,-0.186986301
437,McCann_2018,Rhinella_marina,Chordata,cane_toad,4,terrestrial,uncertain,<1,BI,19.819891,-155.836336,adult,uncertain,2,12,24,population,CTmin,9.14516129,8.561827957,std_err,0.809139785,0.442204301,20,20,164,24.9,16.63333333,20.63333333,8.266666667,lower,-0.048611111
438,Park_et_al_2018,Arabidopsis_thaliana,Tracheophyta ,rockcress,2,terrestrial,uncertain,1,IT,42.117,12.48,adult,uncertain,2,4,22,population,LD50_low,-9.6,-4.6,std_err,NA,NA,1,1,4,29.68333333,3.433333333,15.28333333,26.25,lower,0.277777778
439,Park_et_al_2018,Arabidopsis_thaliana,Tracheophyta ,rockcress,2,terrestrial,uncertain,1,SW,62.8,18.2,adult,uncertain,2,4,22,population,LD50_low,-12.4,-5.1,std_err,NA,NA,1,1,4,18.75,-7.5625,4.625,26.3125,lower,0.405555556
440,Pereira_et_al_2017,Tigriopus_californicus,Arthropoda,copepod,11,intertidal,planktonic,2+,SRQ,27.179937,-114.397685,adult,female,2,20,25,population,LD50_high,37.638,38.46,std_err,0.463,0.11295,1,1,22,28,13.73333333,20.16666667,14.26666667,upper,0.1644
441,Pereira_et_al_2017,Tigriopus_californicus,Arthropoda,copepod,11,intertidal,planktonic,2+,BUF,31.723725,-116.721815,adult,female,2,20,25,population,LD50_high,36.663,37.21,std_err,0.418,0.072612,1,1,22,28.7,10.78,18.78,17.92,upper,0.1094
442,Pereira_et_al_2017,Tigriopus_californicus,Arthropoda,copepod,11,intertidal,planktonic,2+,SD,32.744828,-117.255264,adult,female,2,20,25,population,LD50_high,36.415,37.437,std_err,0.358,0.10056,1,1,22,28.33333333,10.2,18.36666667,18.13333333,upper,0.2044
443,Pereira_et_al_2017,Tigriopus_californicus,Arthropoda,copepod,11,intertidal,planktonic,2+,BR,32.814202,-117.273379,adult,female,2,20,25,population,LD50_high,36.75,38.03,std_err,0.447,0.13523,1,1,22,28.5,10.175,18.45,18.325,upper,0.256
444,Pereira_et_al_2017,Tigriopus_californicus,Arthropoda,copepod,11,intertidal,planktonic,2+,AB,33.736857,-118.373817,adult,female,2,20,25,population,LD50_high,35.727,36.963,std_err,0.348,0.082266,1,1,22,29.65,9.5,18.8,20.15,upper,0.2472
445,Pereira_et_al_2017,Tigriopus_californicus,Arthropoda,copepod,11,intertidal,planktonic,2+,SCN,36.949433,-122.046358,adult,female,2,20,25,population,LD50_high,34.696,35.764,std_err,0.396,0.089002,1,1,22,22.14,7.8,14.48,14.34,upper,0.2136
446,Pereira_et_al_2017,Tigriopus_californicus,Arthropoda,copepod,11,intertidal,planktonic,2+,PES,37.259631,-122.414116,adult,female,2,20,25,population,LD50_high,35.043,36.384,std_err,0.413,0.12266,1,1,22,20.475,8.4,14.075,12.075,upper,0.2682
