,primary,checked_by,needs_review,study,doi,taxon,phylum,common_name,number_of_populations,ecosystem,dispersal_mode,acclimation_time,envtl_data_reported,year,source_population,latitude,longitude,life_history_stage,sex,acclimation_temperature,measurement_level,thermal_limit_type,thermal_limit,thermal_limit_error_type,thermal_limit_error,n,figure_table,notes,max_temp,min_temp,mean_temp,temp_range,upper_lower
11,AV,NA,NA,Underwood_et_al_2012,10.1111/j.1095-8649.2012.03287.x,Oncorhynchus_clarkii_pleuriticus,Chordata,fish,3,freshwater,planktonic,1,no,unknown,Carr_Creek,39.61167,-108.575,juvenile,uncertain,15,population,CTmax,28.8,std_dev,0.5,13,Table 1,NA,27.675,-11.725,6.35,39.4,upper
12,AV,NA,NA,Underwood_et_al_2012,10.1111/j.1095-8649.2012.03287.x,Oncorhynchus_clarkii_pleuriticus,Chordata,fish,3,freshwater,planktonic,1,no,unknown,Trapper_Creek,39.62333,-108.00833,juvenile,uncertain,10,population,CTmax,28,std_dev,0.6,26,Table 1,NA,25.9,-12.45,5,38.35,upper
13,AV,NA,NA,Underwood_et_al_2012,10.1111/j.1095-8649.2012.03287.x,Oncorhynchus_clarkii_pleuriticus,Chordata,fish,3,freshwater,planktonic,1,no,unknown,Trapper_Creek,39.62333,-108.00833,juvenile,uncertain,15,population,CTmax,29.1,std_dev,0.3,20,Table 1,NA,25.9,-12.45,5,38.35,upper
14,AV,NA,NA,Underwood_et_al_2012,10.1111/j.1095-8649.2012.03287.x,Oncorhynchus_clarkii_pleuriticus,Chordata,fish,3,freshwater,planktonic,1,no,unknown,Trapper_Creek,39.62333,-108.00833,juvenile,uncertain,20,population,CTmax,29.6,std_dev,0.5,9,Table 1,NA,25.9,-12.45,5,38.35,upper
15,AV,NA,NA,Underwood_et_al_2012,10.1111/j.1095-8649.2012.03287.x,Oncorhynchus_clarkii_pleuriticus,Chordata,fish,3,freshwater,planktonic,1,no,unknown,Lake_Nanita,40.25667,-105.71667,juvenile,uncertain,10,population,CTmax,27.7,std_dev,0.6,7,Table 1,NA,18.725,-16.3,-0.5,35.025,upper
16,AV,NA,NA,Underwood_et_al_2012,10.1111/j.1095-8649.2012.03287.x,Oncorhynchus_clarkii_pleuriticus,Chordata,fish,3,freshwater,planktonic,1,no,unknown,Lake_Nanita,40.25667,-105.71667,juvenile,uncertain,15,population,CTmax,28.5,std_dev,0.4,7,Table 1,NA,18.725,-16.3,-0.5,35.025,upper
17,AV,NA,NA,Underwood_et_al_2012,10.1111/j.1095-8649.2012.03287.x,Oncorhynchus_clarkii_pleuriticus,Chordata,fish,3,freshwater,planktonic,1,no,unknown,Lake_Nanita,40.25667,-105.71667,juvenile,uncertain,20,population,CTmax,29.1,std_dev,0.7,5,Table 1,NA,18.725,-16.3,-0.5,35.025,upper
18,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,2+,yes,2011,East_Calais_VT,44.37,-72.43,adult,female,25,individual,LD50_high,39.65,std_dev,NA,40,Supplamental data S1,NA,24.6,-12.3,6.8,36.9,upper
19,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,2+,yes,2011,East_Calais_VT,44.37,-72.43,adult,female,25,individual,LD50_high,40.02,std_dev,NA,40,Supplamental data S1,NA,24.6,-12.3,6.8,36.9,upper
20,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,2+,yes,2011,East_Calais_VT,44.37,-72.43,adult,female,25,individual,LD50_high,39.64,std_dev,NA,40,Supplamental data S1,NA,24.6,-12.3,6.8,36.9,upper
21,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,2+,yes,2011,East_Calais_VT,44.37,-72.43,adult,female,25,individual,LD50_high,39.53,std_dev,NA,40,Supplamental data S1,NA,24.6,-12.3,6.8,36.9,upper
22,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,2+,yes,2011,East_Calais_VT,44.37,-72.43,adult,female,25,individual,LD50_high,39.86,std_dev,NA,40,Supplamental data S1,NA,24.6,-12.3,6.8,36.9,upper
23,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,2+,yes,2011,East_Calais_VT,44.37,-72.43,adult,female,25,individual,LD50_high,39.94,std_dev,NA,40,Supplamental data S1,NA,24.6,-12.3,6.8,36.9,upper
24,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,2+,yes,2011,East_Calais_VT,44.37,-72.43,adult,female,25,individual,LD50_high,39.97,std_dev,NA,40,Supplamental data S1,NA,24.6,-12.3,6.8,36.9,upper
25,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,2+,yes,2011,East_Calais_VT,44.37,-72.43,adult,female,25,individual,LD50_high,40,std_dev,NA,40,Supplamental data S1,NA,24.6,-12.3,6.8,36.9,upper
26,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,2+,yes,2011,Beasley_Orchard_IN,39.76,-86.48,adult,female,25,individual,LD50_high,39.8,std_dev,NA,40,Supplamental data S1,NA,29.18,-6.22,11.58,35.4,upper
27,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,2+,yes,2011,Beasley_Orchard_IN,39.76,-86.48,adult,female,25,individual,LD50_high,39.98,std_dev,NA,40,Supplamental data S1,NA,29.18,-6.22,11.58,35.4,upper
28,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,2+,yes,2011,Beasley_Orchard_IN,39.76,-86.48,adult,female,25,individual,LD50_high,40.14,std_dev,NA,40,Supplamental data S1,NA,29.18,-6.22,11.58,35.4,upper
29,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,2+,yes,2011,Beasley_Orchard_IN,39.76,-86.48,adult,female,25,individual,LD50_high,40,std_dev,NA,40,Supplamental data S1,NA,29.18,-6.22,11.58,35.4,upper
30,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,2+,yes,2011,Beasley_Orchard_IN,39.76,-86.48,adult,female,25,individual,LD50_high,39.3,std_dev,NA,40,Supplamental data S1,NA,29.18,-6.22,11.58,35.4,upper
31,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,2+,yes,2011,Beasley_Orchard_IN,39.76,-86.48,adult,female,25,individual,LD50_high,39.5,std_dev,NA,40,Supplamental data S1,NA,29.18,-6.22,11.58,35.4,upper
32,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,2+,yes,2011,Raleigh_NC,35.76,-78.66,adult,female,25,individual,LD50_high,39.82,std_dev,NA,40,Supplamental data S1,NA,30.4,0.85,16,29.55,upper
33,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,2+,yes,2011,Raleigh_NC,35.76,-78.66,adult,female,25,individual,LD50_high,39.68,std_dev,NA,40,Supplamental data S1,NA,30.4,0.85,16,29.55,upper
34,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,2+,yes,2011,Raleigh_NC,35.76,-78.66,adult,female,25,individual,LD50_high,39.46,std_dev,NA,40,Supplamental data S1,NA,30.4,0.85,16,29.55,upper
35,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,2+,yes,2011,Raleigh_NC,35.76,-78.66,adult,female,25,individual,LD50_high,40.12,std_dev,NA,40,Supplamental data S1,NA,30.4,0.85,16,29.55,upper
36,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,2+,yes,2011,Raleigh_NC,35.76,-78.66,adult,female,25,individual,LD50_high,39.94,std_dev,NA,40,Supplamental data S1,NA,30.4,0.85,16,29.55,upper
37,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,2+,yes,2011,Raleigh_NC,35.76,-78.66,adult,female,25,individual,LD50_high,39.97,std_dev,NA,40,Supplamental data S1,NA,30.4,0.85,16,29.55,upper
38,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,2+,yes,2002,Chiapa_de_Corzo_Chiapas_Mexico,16.7,-93.01,adult,female,25,individual,LD50_high,39.74,std_dev,NA,40,Supplamental data S1,NA,32.375,17.875,25.175,14.5,upper
39,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,2+,yes,2005,"Monkey_Hill,_St._Kitts",17.32,-62.73,adult,female,25,individual,LD50_high,39.38,std_dev,NA,40,Supplamental data S1,NA,27.95,23.875,25.975,4.075,upper
40,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,2+,yes,2010,"Accra,_Ghana",5.56,-0.2,adult,female,25,individual,LD50_high,40.39,std_dev,NA,40,Supplamental data S1,NA,30.2,23.3,26.7,6.9,upper
41,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,2+,yes,2006,"Mumbai,_India",19.08,72.88,adult,female,25,individual,LD50_high,40.32,std_dev,NA,40,Supplamental data S1,NA,32.525,20.775,27.3,11.75,upper
42,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,2+,yes,2012,Guam,13.44,144.79,adult,female,25,individual,LD50_high,39.9,std_dev,NA,40,Supplamental data S1,NA,28.625,25.9,27.275,2.725,upper
43,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,1,yes,2011,East_Calais_VT,44.37,-72.43,embryo,uncertain,25,individual,LD50_high,35.18,std_dev,NA,20,Supplamental data S1,NA,24.6,-12.3,6.8,36.9,upper
44,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,1,yes,2011,East_Calais_VT,44.37,-72.43,embryo,uncertain,25,individual,LD50_high,35.03,std_dev,NA,20,Supplamental data S1,NA,24.6,-12.3,6.8,36.9,upper
45,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,1,yes,2011,East_Calais_VT,44.37,-72.43,embryo,uncertain,25,individual,LD50_high,34.75,std_dev,NA,20,Supplamental data S1,NA,24.6,-12.3,6.8,36.9,upper
46,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,1,yes,2011,East_Calais_VT,44.37,-72.43,embryo,uncertain,25,individual,LD50_high,34.81,std_dev,NA,20,Supplamental data S1,NA,24.6,-12.3,6.8,36.9,upper
47,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,1,yes,2011,East_Calais_VT,44.37,-72.43,embryo,uncertain,25,individual,LD50_high,35.27,std_dev,NA,20,Supplamental data S1,NA,24.6,-12.3,6.8,36.9,upper
48,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,1,yes,2011,East_Calais_VT,44.37,-72.43,embryo,uncertain,25,individual,LD50_high,34.17,std_dev,NA,20,Supplamental data S1,NA,24.6,-12.3,6.8,36.9,upper
49,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,1,yes,2011,East_Calais_VT,44.37,-72.43,embryo,uncertain,25,individual,LD50_high,34.23,std_dev,NA,20,Supplamental data S1,NA,24.6,-12.3,6.8,36.9,upper
50,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,1,yes,2011,East_Calais_VT,44.37,-72.43,embryo,uncertain,25,individual,LD50_high,35.01,std_dev,NA,20,Supplamental data S1,NA,24.6,-12.3,6.8,36.9,upper
51,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,1,yes,2011,Beasley_Orchard_IN,39.76,-86.48,embryo,uncertain,25,individual,LD50_high,35.13,std_dev,NA,20,Supplamental data S1,NA,29.18,-6.22,11.58,35.4,upper
52,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,1,yes,2011,Beasley_Orchard_IN,39.76,-86.48,embryo,uncertain,25,individual,LD50_high,35.11,std_dev,NA,20,Supplamental data S1,NA,29.18,-6.22,11.58,35.4,upper
53,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,1,yes,2011,Beasley_Orchard_IN,39.76,-86.48,embryo,uncertain,25,individual,LD50_high,34.94,std_dev,NA,20,Supplamental data S1,NA,29.18,-6.22,11.58,35.4,upper
54,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,1,yes,2011,Beasley_Orchard_IN,39.76,-86.48,embryo,uncertain,25,individual,LD50_high,35.3,std_dev,NA,20,Supplamental data S1,NA,29.18,-6.22,11.58,35.4,upper
55,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,1,yes,2011,Beasley_Orchard_IN,39.76,-86.48,embryo,uncertain,25,individual,LD50_high,35.29,std_dev,NA,20,Supplamental data S1,NA,29.18,-6.22,11.58,35.4,upper
56,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,1,yes,2011,Raleigh_NC,35.76,-78.66,embryo,uncertain,25,individual,LD50_high,34.98,std_dev,NA,20,Supplamental data S1,NA,30.4,0.85,16,29.55,upper
57,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,1,yes,2011,Raleigh_NC,35.76,-78.66,embryo,uncertain,25,individual,LD50_high,34.95,std_dev,NA,20,Supplamental data S1,NA,30.4,0.85,16,29.55,upper
58,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,1,yes,2011,Raleigh_NC,35.76,-78.66,embryo,uncertain,25,individual,LD50_high,34.03,std_dev,NA,20,Supplamental data S1,NA,30.4,0.85,16,29.55,upper
59,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,1,yes,2011,Raleigh_NC,35.76,-78.66,embryo,uncertain,25,individual,LD50_high,34.63,std_dev,NA,20,Supplamental data S1,NA,30.4,0.85,16,29.55,upper
60,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,1,yes,2011,Raleigh_NC,35.76,-78.66,embryo,uncertain,25,individual,LD50_high,34.96,std_dev,NA,20,Supplamental data S1,NA,30.4,0.85,16,29.55,upper
61,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,1,yes,2011,Raleigh_NC,35.76,-78.66,embryo,uncertain,25,individual,LD50_high,34.94,std_dev,NA,20,Supplamental data S1,NA,30.4,0.85,16,29.55,upper
62,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,1,yes,2002,Chiapa_de_Corzo_Chiapas_Mexico,16.7,-93.01,embryo,uncertain,25,individual,LD50_high,36.24,std_dev,NA,20,Supplamental data S1,NA,32.375,17.875,25.175,14.5,upper
63,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,1,yes,2005,"Monkey_Hill,_St._Kitts",17.32,-62.73,embryo,uncertain,25,individual,LD50_high,35.44,std_dev,NA,20,Supplamental data S1,NA,27.95,23.875,25.975,4.075,upper
64,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,1,yes,2010,"Accra,_Ghana",5.56,-0.2,embryo,uncertain,25,individual,LD50_high,35.65,std_dev,NA,20,Supplamental data S1,NA,30.2,23.3,26.7,6.9,upper
65,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,1,yes,2006,"Mumbai,_India",19.08,72.88,embryo,uncertain,25,individual,LD50_high,36.14,std_dev,NA,20,Supplamental data S1,NA,32.525,20.775,27.3,11.75,upper
66,AP,MK,NA,Lockwood_et_al_2017,10.1111/jeb.13234,Drosophila_melanogaster,Arthropoda,fruit_fly,8,terrestrial,direct,1,yes,2012,Guam,13.44,144.79,embryo,uncertain,25,individual,LD50_high,35.51,std_dev,NA,20,Supplamental data S1,NA,28.625,25.9,27.275,2.725,upper
67,SS,NA,NA,Underwood_et_al_2012,10.1111/j.1095-8649.2012.03287.x,Oncorhynchus_clarkii_pleuriticus,Chordata,Colorado_River_cutthroat_trout,3,freshwater,uncertain,1,no,unknown,Carr_Creek,39.61166667,-108.575,juvenile,uncertain,10,population,CTmax,28.2,std_dev,0.6,17,Table 1,NA,27.675,-11.725,6.35,39.4,upper
68,SS,NA,NA,Underwood_et_al_2012,10.1111/j.1095-8649.2012.03287.x,Oncorhynchus_clarkii_pleuriticus,Chordata,Colorado_River_cutthroat_trout,3,freshwater,uncertain,1,no,unknown,Trapper_Creek,39.62333333,-108.0083333,juvenile,uncertain,10,population,CTmax,28,std_dev,0.6,26,Table 1,NA,25.9,-12.45,5,38.35,upper
69,SS,NA,NA,Underwood_et_al_2012,10.1111/j.1095-8649.2012.03287.x,Oncorhynchus_clarkii_pleuriticus,Chordata,Colorado_River_cutthroat_trout,3,freshwater,uncertain,1,no,unknown,La_Nanita,40.25666667,-105.7166667,juvenile,uncertain,10,population,CTmax,27.7,std_dev,0.6,7,Table 1,NA,18.725,-16.3,-0.5,35.025,upper
70,SS,NA,NA,Underwood_et_al_2012,10.1111/j.1095-8649.2012.03287.x,Oncorhynchus_clarkii_pleuriticus,Chordata,Colorado_River_cutthroat_trout,3,freshwater,uncertain,1,no,unknown,Carr_Creek,39.61166667,-108.575,juvenile,uncertain,15,population,CTmax,28.8,std_dev,0.5,13,Table 1,NA,27.675,-11.725,6.35,39.4,upper
71,SS,NA,NA,Underwood_et_al_2012,10.1111/j.1095-8649.2012.03287.x,Oncorhynchus_clarkii_pleuriticus,Chordata,Colorado_River_cutthroat_trout,3,freshwater,uncertain,1,no,unknown,Trapper_Creek,39.62333333,-108.0083333,juvenile,uncertain,15,population,CTmax,29.1,std_dev,0.3,20,Table 1,NA,25.9,-12.45,5,38.35,upper
72,SS,NA,NA,Underwood_et_al_2012,10.1111/j.1095-8649.2012.03287.x,Oncorhynchus_clarkii_pleuriticus,Chordata,Colorado_River_cutthroat_trout,3,freshwater,uncertain,1,no,unknown,La_Nanita,40.25666667,-105.7166667,juvenile,uncertain,15,population,CTmax,28.5,std_dev,0.4,7,Table 1,NA,18.725,-16.3,-0.5,35.025,upper
73,SS,NA,NA,Underwood_et_al_2012,10.1111/j.1095-8649.2012.03287.x,Oncorhynchus_clarkii_pleuriticus,Chordata,Colorado_River_cutthroat_trout,3,freshwater,uncertain,1,no,unknown,Trapper_Creek,39.62333333,-108.0083333,juvenile,uncertain,20,population,CTmax,29.6,std_dev,0.5,9,Table 1,NA,25.9,-12.45,5,38.35,upper
74,SS,NA,NA,Underwood_et_al_2012,10.1111/j.1095-8649.2012.03287.x,Oncorhynchus_clarkii_pleuriticus,Chordata,Colorado_River_cutthroat_trout,3,freshwater,uncertain,1,no,unknown,La_Nanita,40.25666667,-105.7166667,juvenile,uncertain,20,population,CTmax,29.1,std_dev,0.7,5,Table 1,NA,18.725,-16.3,-0.5,35.025,upper
75,SS,NA,NA,McCann_2018,10.1093/conphys/cox072,Rhinella_marina,Chordata,cane_toad,4,terrestrial,uncertain,<1,yes,2015,HU,19.696853,-155.081501,adult,uncertain,24,population,CTmin,10.66896552,std_err,0.675862069,20,Figure 3b,NA,27.56666667,20.16666667,23.86666667,7.4,lower
76,SS,NA,NA,McCann_2018,10.1093/conphys/cox072,Rhinella_marina,Chordata,cane_toad,4,terrestrial,uncertain,<1,yes,2015,TV,19.549037,-155.136774,adult,uncertain,24,population,CTmin,11.98455056,std_err,0.668539326,22,Figure 3a,NA,24.9,17.125,20.925,7.775,lower
77,SS,NA,NA,McCann_2018,10.1093/conphys/cox072,Rhinella_marina,Chordata,cane_toad,4,terrestrial,uncertain,<1,yes,2015,ML,19.941369,-155.859498,adult,uncertain,24,population,CTmin,10.1260274,std_err,0.652054795,20,Figure 3d,NA,28.475,20.625,24.525,7.85,lower
78,SS,NA,NA,McCann_2018,10.1093/conphys/cox072,Rhinella_marina,Chordata,cane_toad,4,terrestrial,uncertain,<1,yes,2015,BI,19.819891,-155.836336,adult,uncertain,24,population,CTmin,8.561827957,std_err,0.442204301,20,Figure 3c,NA,24.9,16.63333333,20.63333333,8.266666667,lower
79,SS,NA,NA,McCann_2018,10.1093/conphys/cox072,Rhinella_marina,Chordata,cane_toad,4,terrestrial,uncertain,<1,yes,2015,HU,19.696853,-155.081501,adult,uncertain,12,population,CTmin,10.09931034,std_err,0.637241379,20,Figure 3b,NA,27.56666667,20.16666667,23.86666667,7.4,lower
80,SS,NA,NA,McCann_2018,10.1093/conphys/cox072,Rhinella_marina,Chordata,cane_toad,4,terrestrial,uncertain,<1,yes,2015,TV,19.549037,-155.136774,adult,uncertain,12,population,CTmin,9.575842697,std_err,0.639044944,22,Figure 3a,NA,24.9,17.125,20.925,7.775,lower
81,SS,NA,NA,McCann_2018,10.1093/conphys/cox072,Rhinella_marina,Chordata,cane_toad,4,terrestrial,uncertain,<1,yes,2015,ML,19.941369,-155.859498,adult,uncertain,12,population,CTmin,12.36986301,std_err,0.268493151,20,Figure 3d,NA,28.475,20.625,24.525,7.85,lower
82,SS,NA,NA,McCann_2018,10.1093/conphys/cox072,Rhinella_marina,Chordata,cane_toad,4,terrestrial,uncertain,<1,yes,2015,BI,19.819891,-155.836336,adult,uncertain,12,population,CTmin,9.14516129,std_err,0.809139785,20,Figure 3c,NA,24.9,16.63333333,20.63333333,8.266666667,lower
